,missing_count,missing_percent
Unnamed: 35,1745,99.49
Total CS/IT,1548,88.26
12th Marks of COMPUTER-SCIENCE / IT Related (Theory),1465,83.52
12th Marks of COMPUTER-SCIENCE / IT Related (Practical),1456,83.01
12th Marks of COMPUTER-SCIENCE,1383,78.85
Total BIO/other,1337,76.23
12th Marks of BIOLOGY / Others (Theory),1309,74.63
12th Marks of BIOLOGY / Others (Practical),1305,74.4
Total Lang2,1303,74.29
12th Marks of LANG2 (Theory),1274,72.63
12th Marks of LANG2 (Practical),1267,72.23
Roll No,1193,68.02
Reg No,1193,68.02
"MAKAUT 
Roll No.",1188,67.73
Entrance Examination Roll No,1188,67.73
WBJEE/JEE MAIN General Merit Rank (GMR),1188,67.73
%,1188,67.73
"MAKAUT 
Reg.No.",1188,67.73
12th Marks of LANG1 (Practical),1136,64.77
12th Marks of CHEMISTRY (Practical),1135,64.71
12th Marks of CHEMISTRY (Theory),1134,64.65
Total CHE,1134,64.65
Toal Lang1,1128,64.31
10th Medium of Studies,1128,64.31
Total PHY,1127,64.25
12th Marks of PHYSICS (Practical),1127,64.25
12th Marks of MATHS (Theory),1127,64.25
12th Marks of MATHS (Practical),1127,64.25
12th Marks of PHYSICS (Theory),1127,64.25
Total Math,1127,64.25
12th Passing Year,1127,64.25
12th Marks of LANG1 (Theory),1127,64.25
Registration No.,1127,64.25
MAKAUT Roll No.,1127,64.25
12th Examination Board/Council Name,1127,64.25
Student's Name,1127,64.25
12th Registration No,1127,64.25
12th Medium of Studies,1127,64.25
10th Board/Council Name,1127,64.25
10th Mark of Overall Percentage (%) (All subjects),1127,64.25
12th Mark of Overall Percentage (%)[all subjects],1127,64.25
12th Marks of BIOLOGY ,1070,61.0
12th Marks of CHEMISTRY,640,36.49
12th Marks of MATHS,627,35.75
(10+2)th Passing Year,627,35.75
Student's Name (In Capital),627,35.75
12th Marks of LANG2,627,35.75
(10+2)th Reg. No,627,35.75
12th Marks of PHYSICS,627,35.75
12th Marks of LANG1,627,35.75
12th Exam Board/Council (in full),627,35.75
12th Examination Name,0,0.0
Stream,0,0.0
12th exam Class/Division,0,0.0
